Name,Chinese Name,Origin_Price,Discount_Price,Discount
Nike Dunk Low Next Nature,女子運動鞋,749,639,0.14686248331108143
Nike Air Force 1 '07,男子運動鞋,799,719,0.10012515644555697
Nike Zoom Vomero 5,男子運動鞋,1099,929,0.15468607825295722
Nike Vaporfly 3,女子公路賽跑跑步鞋,1699,1189,0.3001765744555621
Nike Air Force 1 '07 LX,女子運動鞋,899,759,0.15572858731924355
Nike InfinityRN 4,男子公路跑步鞋,1199,959,0.20016680567139278
Nike Zoom Vomero 5,女子運動鞋,999,899,0.10010010010010006
Nike Winflo 11,男子公路跑步鞋,799,679,0.15018773466833546
Nike Journey Run,女子公路跑步鞋,699,549,0.2145922746781116
Nike Metcon 9,男子訓練鞋,999,799,0.20020020020020024
Nike Dunk Low,女子運動鞋,849,719,0.1531213191990577
Nike G.T. Cut 3 EP,男女皆宜籃球鞋,1499,1199,0.20013342228152098
Nike Air Force 1 '07 LV8 COB,男子空軍一號運動鞋,849,719,0.1531213191990577
Nike Dunk Low NN SE,女子運動鞋,799,679,0.15018773466833546
KD17 EP,男子籃球鞋,1299,1099,0.1539645881447267
Air Jordan Legacy 312,男子運動鞋,1099,879,0.2001819836214741
Nike Pro,Dri-FIT 男子緊身短袖訓練上衣,199,169,0.1507537688442211
NikeCourt Dri-FIT,男子網球翻領衫,269,219,0.18587360594795543
Nike Sportswear Chill Knit,女子T恤,259,199,0.23166023166023164
Nike Dri-FIT,女子高爾夫T恤,499,349,0.3006012024048096
Nike Club Fleece,男子學院風法國毛圈短褲,399,279,0.3007518796992481
Nike Sportswear Chill Terry,女子中腰法國毛圈短褲,349,229,0.3438395415472779
Nike Sportswear Chill Terry,女子中腰法國毛圈短褲,349,239,0.31518624641833815
Nike,Dri-FIT 男子短褲,299,239,0.2006688963210702
Nike Zoom Vomero 5,男子運動鞋,1099,929,0.15468607825295722
"Nike Dunk Low Retro ""CHBL""",男子運動鞋,849,719,0.1531213191990577
Nike Air Zoom G.T. Cut Academy EP,男女皆宜籃球鞋,799,639,0.20025031289111395
Nike Air Pegasus 2005,男子運動鞋,949,809,0.14752370916754476
Nike Dunk Low Retro SE,男子運動鞋,799,599,0.2503128911138923
Nike Air Force 1 '07,男子運動鞋,899,759,0.15572858731924355
Nike AF1 Shadow,女子空軍一號運動鞋,899,759,0.15572858731924355
Nike Sportswear Essential,女子短袖翻領上衣,299,239,0.2006688963210702
Nike Sportswear Premium Essentials,男子T恤,349,299,0.1432664756446992
Nike Dri-FIT Primary,男子訓練T恤,349,279,0.20057306590257884
Nike Sportswear,男子T恤,349,229,0.3438395415472779
Nike Sportswear Essential,女子梭織短褲,349,299,0.1432664756446992
Nike Club,男子梭織短褲,449,309,0.311804008908686
Nike Sportswear Chill Terry,女子中腰法國毛圈短褲,349,279,0.20057306590257884
Nike DNA,Dri-FIT 男子籃球短褲,299,239,0.2006688963210702
